ABANDON;BİRİNİ TERK ETMEK
ABBREVİATE;KISALTMAK, ÖZETLEMEK
ABOLİSH;SONA ERDİRMEK
ABROAD;YURTDIŞI
ABSORB;İÇİNE ÇEKMEK, EMMEK
ABSTAİN FROM;-- DEN SAKINMAK
ABSTRACT;ÖZETLEMEK
ABUNDANCE;BEREKET
ABUNDANT;BEREKETLİ
ACCELERATE;HIZLANDIRMAK
ACCEPT;KABUL ETMEK
ACCESS;ERİŞMEK
ACCESSİBLE TO;ULAŞILABİLİR
ACCİDENT;KAZA
ACCOMMODATE;MİSAFİR AĞIRLAMAK
ACCOMMODATİON;KONAKLAMA
ACCOMPANY;EŞLİK ETMEK
ACCOMPLİSH;BAŞARMAK
ACCORDİNG;GÖRE,EYE
ACCOUNTANT;MUHASEBECİ
ACCUMULATE;BİRİKTİRMEK
ACCURACY;DOĞRULUK, KESİNLİK
ACCURATE;HATASIZ
ACCURATELY;EKSİKSİZ BİR ŞEKİLDE
ACCUSE OF;İTHAM ETMEK
ACHİEVE;BAŞARMAK
ACKNOWLEDGE AS;KABUL ETMEK
ACQUAİNTED WİTH;HABERDAR OLMAK
ACQUİRE;EDİNMEK, KAZANMAK
ACQUİSİTİON;EDİNİM
ACRONYM;KISALTILMIŞ SÖZCÜK
ACTİVİTY;FAALİYET
ADAPT;UYARLAMAK
ADDİCT;BAĞIMLI
ADDİCTİON TO;TİRYAKİLİK
ADDİTİON;EK,İLAVE
ADDİTİONALLY;AYRICA
ADDRESS;HİTABE, SÖYLEV
ADEQUATELY;YETERLİ BİR ŞEKİLDE
ADJUST;UYARLAMAK
ADJUSTMENT;DÜZELTME
ADMİNİSTER;İDARE ETMEK
ADMİRE;HAYRANOLMAK
ADMİT;KABULLENMEK, İTİRAF ETMEK
ADOPT;EVLAT EDİNMEK
ADORE;ÇOK SEVMEK
ADULT;YETİŞKİN
ADVENTURE;MACERA
ADVERSE;ZIT, KÖTÜ
ADVERTİSEMENT;REKLAM
ADVİCE;TAVSİYE
ADVOCATE;SAVUNMAK
AFFECT;ETKİLEMEK
AFFECTİON;ŞEVKAT
AFFORD;MADDİOLANAĞA SAHİPOLMAK
AFRAİD;KORKMUŞ
AGE;YAŞ
AGGRAVATE;KÖTÜYE GİTMEK, FENALAŞMAK
AGGRESSİVE;SALDIRGAN
AGREE;KATILMAK(BİRDÜŞÜNCEYE)
AİD;YARDIM ETMEK
AİRPLANE;UÇAK
ALİEN TO;YABANCI
ALLOW;İZİNVERMEK
ALONE;YALNIZ
ALONGSİDE;YANINDA
ALTER;DEĞİŞTİRMEK
ALTERATİON;DEĞİŞİKLİK
ALWAYS;HER ZAMAN
AMAZİNG;ŞAŞIRTICI
AMENDMENT;DEĞİŞİKLİK,
AMEND;  DÜZENLEME YAPMAK (KANUNDA)
AMOUNT;MİKTAR
AMUSİNG;EĞLENCELİ, ZEVKLİ
ANALOGY;BENZERLİK, BENZEŞME
ANALYSİS;ANALİZ
ANALYZE;ÇÖZÜMLEMEK
ANGRY;KIZGIN-SİNİRLİ
ANİMAL;HAYVAN
ANNİVERSARY;YILDÖNÜMÜ
ANNOTATE;YORUMLAMAK
ANNOUNCE;İLAN ETMEK
ANNUAL;YILLIK
ANSWER;CEVAPVERMEK
ANT;KARINCA
ANTİCİPATE;UMUT  ETMEK, BEKLEMEK
ANXİOUS;TEDİRGİN,ENDİŞELİ
APOLOGİZE;ÖZÜRDİLEMEK
APPALLİNG;KORKUNÇ
APPEAR;ORTAYAÇIKMAK
APPLİCATİON;BAŞVURU,MÜRACAAT
APPLY;BAŞVURMAK
APPOİNTMENT;ATAMA, TAYİN  RANDEVU
APPRECİATE;TAKDİR ETMEK, DEĞERİNİ BİLMEK
APPROACH;(BİR ŞEYE) YAKLAŞMAK
APPROPRİATE;UYGUN
APPROPRİATELY;UYGUN OLARAK
APPROVE OF;ONAYLAMAK,TASVİP ETMEK
APPROXİMATE;YAKLAŞIK,HEMEN HEMEN
ARCHİTECT;MİMAR
AREA;BÖLGE
ARGUE;TARTIŞMAK
ARGUMENT;TARTIŞMA
ARM;KOL
ARMY;ORDU
ARRANGE;DÜZENLEMEK, AYARLAMAK (TOPLANTI)
ARRİVE;VARMAK
ART;SANAT
ARTEFACT;İNSAN ELİYLE YAPILMIŞ SANAT
ARTİCULATE;TERCÜMAN OLMAK
ASCEND;YUKARI ÇIKMAK, TIRMANMAK
ASHAMED;UTANMIŞ
ASHTRAY;KÜLLÜK
ASK FOR;RİCADA BULUNMAK
ASPECTS;YÖN
ASPİRE;ŞİDDETLE ARZU ETMEK
ASSEMBLE;BİR ARAYA GETİRMEK
ASSERT;İDDİA ETMEK
ASSESS;DEĞERLENDİRMEK
ASSİGN;ATAMAK, TAYİN ETMEK
ASSİST SOMEBODY İN SOMETHİNG;BİRİNE BİR KONUDA YARDIM ETMEK
ASSOCİATE;İLİŞKİLENDİRMEK,ÇAĞRIŞIM YAPMAK
ASSUME;VAR SAYMAK
ASSUMPTİON;FARZ, VARSAYIM
ASSURE;BİRİNE TEMİNAT VERMEK,
ASTONİSHMENT;ŞAŞIRTMAK, ŞAŞIRMAK
ATTACH;İLİŞTİRMEK, EKLEMEK
ATTACK;SALDIRMAK, SALDIRI
ATTAİN;ELDE ETMEK, ERİŞMEK
ATTAİNMENT;ULAŞMAK, ERİŞMEK
ATTEND;İŞTİRAK ETMEK, KATILMAK
ATTENTİON;DİKKAT
ATTRACT;ETKİLEMEK
ATTRİBUTE;BİR SEBEBE/NEDENE DAYANDIRMAK
AUDİENCE;DİNLEYİCİLER
AUDİTORİUM;DİNLENME/İZLEME SALONU
AUNT;HALA-TEYZE
AUTHENTİC;ORİJİNAL, OTANTİK
AVAİLABLE;MEVCUT, VAR OLAN
AVERAGE;ORTALAMA
AVERT;OLMASINI ÖNLEMEK
AVOİDABLE;KAÇINILABİLİR, ENGELLENEBİLİR
AWARD;ÖDÜL
BACKGAMMON;TAVLA
BACKGROUND;ALT YAPİ, GEÇMİŞ
BACKWARD;GERİ KALMIŞ, GERİYE DOĞRU
BADLY İN NEED OF;BİR ŞEYE/BİRİNE ÇOK MUHTAÇ OLMAK
BAG;ÇANTA
BALL;TOP
BARELY;HEMEN HEMEN HİÇ
BARGAİN;PAZARLIK, ANLAŞMA ,KELEPİR EŞYA
BARREN;KURAK, VERİMSİZ
BASİC;TEMEL
BATH;BANYO
BAZAAR;PAZAR, ALIŞVERİŞ YERİ
BEAUTİFUL;GÜZEL
BEGİN;BAŞLAMAK
BEHAVE;DAVRANMAK
BELİEF;İNANÇ
BELİEVE;İNANMAK
BELL;ZİL
BELONG;AİTOLMAK
BELONGİNGS;BİRİNİN KİŞİSEL EŞYALARI
BELOVED;SEVGİLİ, HAZRET
BENEFİT;FAYDA
BET;BAHİS
BİLL;HESAP-FATURA
BİTE;ISIRMAK
BİTİNGLY SATİRİCAL;İNSAFSIZCA ELEŞTİRME
BİZARRE;TUHAF, ACAYİP
BLANKET;BATTANİYE
BLAZE;ALEV, PARLAMAK
BLEED;KANAMAK
BLOOD;KAN
BOARDİNGCARD;BİNİŞKARTI
BOARDİNGTİME;BİNİŞZAMANI
BODY;GÖVDE, BEDEN
BOİL;KAYNAMAK
BOLT;FIRLAYIP KAÇMAK
BONE;KEMİK
BOOKSTORE;KİTAPÇI
BORİNG;SIKICI
BORROW;ÖDÜNÇALMAK
BOSS;PATRON
BOTTLE;ŞİŞE
BOX;KUTU
BRAİN;BEYİN
BRAİNSTORM;BEYİN FIRTINASI ( YAPMAK)
BRAKE;FREN
BRANCH;DAL, BRANŞ
BRAND;MARKA
BRAVE;CESUR
BREAD;EKMEK
BREAK;KIRMAK
BREAK OFF;NİŞAN, NİKAH VB BOZMAK, AYRILMAK
BREED;YAVRULAMAK ,HAYVAN YETİŞTİRMEK
BRİBERY;RÜŞVET 
BRİDE;GELİN
BRİDGE;KÖPRÜ
BRİEF;ÖZET/ DİLEKÇE
BRİGHT;PARLAK
BRİNG;GETİRMEK
BRİNG UP;ÇOCUK BÜYÜTMEK,ORTAYA KONU ATMAK
BROADCAST;YAYIN
BROADLY SPEAKİNG;GENEL KONUŞMAK 
BROİL;IZGARA YAPMAK 
BRUSH;FIRÇA
BUİLD;İNŞAETMEK
BULB;AMPUL
BULLFİGHT;BOĞA GÜREŞİ
BULLY;KABADAYI, ZORBALIK YAPMAK
BURGLAR;SOYGUNCU
BURİAL;GÖMÜ, GÖMME
BURN;YAKMAK  YANMAK
BUSİNESS;İŞ
BUSY;MEŞGUL
BUTTER;TEREYAĞI
BUTTON;DÜĞME
CABLE;KABLO
CALCULATE;HESAPLAMAK
CALCULATOR;HESAP MAKİNESİ
CALENDAR;TAKVİM
CALL;ARAMAK
CALL FOR;TALEP ETMEK, İSTEMEK
CALM;SAKİN
CAN;KONSERVEKUTUSU
CAN’T TAKE ONE’S EYES OFF;GÖZLERİNİ BİRİNDEN VEYA BİR ŞEYDEN ALAMAMAK
CANCEL;İPTAL ETMEK
CAP;KASKET,BAŞLIK
CAPİTAL;BAŞKENT
CAPTİON;BAŞLIK / İSTEK
CAPTİVATİNG;BÜYÜLEYİCİ
CAPTİVE;TUTSAK, ESİR
CAPTİVİTY;TUTSAKLIK, ESARET
CAPTURE;YAKALAMAK,TUTSAK ETMEK
CARELESS;DİKKATSİZ
CARPENTER;MARANGOZ
CARPET;HALI
CARRY;TAŞIMAK
CARRY OUT;ÇALIŞMA YÜRÜTMEK, İCRA ETMEK
CARTOON;ÇİZGİFİLM
CARVE;TAHTA VB OYMAK, ET VB KESMEK
CASH;NAKİTPARA
CASUALLY;GÜNLÜK, SIRADAN 
CATCH;YAKALAMAK
CATEGORY;KATEGORİ
CAUSE;NEDEN OLMAK
CAUTİON;UYARI, DİKKAT
CEASE;SONA ERDİRMEK, DURDURMAK
CEASELESS;ARALIKSIZ, DURMADAN
CELEBRATİON;KUTLAMA
CELEBRİTY;ÜNLÜ
CENSUS;NÜFUS SAYIMI
CEREMONY;TÖREN
CERTAİN;KESİN
CHAİR;SANDALYE
CHANCE;ŞANS,İMKAN
CHANGİNGROOM;SOYUNMAODASI
CHARACTER;KARAKTER, HUY
CHARACTERİSTİC;ÖZELLİK
CHARACTERİZE;VASIFLANDIRMAK, TANIMLAMAK
CHARGE WİTH; İLE ŞARJ
CHART;PLAN, HARİTA, ÇİZELGE
CHEAP;UCUZ
CHEESE;PEYNİR
CHERRY;KİRAZ
CHESS;SATRANÇ
CHEWİNGGUM;SAKIZ
CHİCKEN;TAVUK
CHİN;ÇENE
CHOOSE;SEÇMEK
CHRONOLOGY;KRONOLOJİ
CHURCH;KİLİSE
CİRCULATE;DOLAŞMAK, DOLAŞTIRMAK
CİRCULATİON;DOLAŞIM, GÜNLÜK SATIŞ ORANI
CİTATİON;BİR YAPITTAN BİR BAŞKASINA AKTARMA/ MAHKEME CELBİ
CİTE;ÖRNEKLEMEK, ADINDAN BAHSETMEK
CİTİZEN;VATANDAŞ
CLAİM;İDDİA ETMEK
CLARİFY;AÇIKLAMAK
CLASS;SINIF
CLAW;PENÇE 
CLEAN;TEMİZLEMEK
CLEAR;AÇIK,NET
CLEARANCE; TASFİYE,İZİN
CLEVER;AKILLI
CLİENT;MÜŞTERİ
CLİMB;TIRMANMAK
CLOCK;SAAT
CLOSE;SIFAT YAKIN
CLOSED;KAPALI
CLOSURE;KAPANIŞ  İFLAS
CLOTH;KIYAFET
CLOUD;BULUT
CLUE;İPUCU
COACH;KOÇ,ANTRENÖR
COAL;KÖMÜR
COAST;KIYI
COAT;KABAN
CODE;ŞİFRE
COHERENT;TUTARLI , UYUMLU
COİNCİDE WİTH;TESADÜF ETMEK
COLD;SOĞUK
COLLAPSE;BİNA VB İÇİN ÇÖKMEK  BAYILMAK
COLLAPSİBLE;KATLANABİLİR KANEPE VB
COLLAR;YAKA  TASMA
COLLEAGUE;İŞ ARKADAŞI
COLLECT;TOPLAMAK
COLLİDE WİTH;ÇARPIŞMAK
COMMENCE;BAŞLAMAK
COMMENT;YORUM
COMMENT ON;YORUM YAPMAK
COMMERCE;TİCARET
COMMERCİAL;REKLAM,TİCARİ
COMMİT;YELTENMEK ,SUÇ İŞELEMEK ,KENDİNİ İŞİNE ADAMAK
COMMON;ORTAK  SIRADAN, YAYGIN
COMMONPLACE;YAYGIN, SIRADAN
COMMUNİTY;CEMİYET
COMMUTER;EV İLE İŞ ARASINDA MEKİK DOKUYAN/GİDİP GELEN
COMPANİON;DOST, ARKADAŞ
COMPANY;ARKADAŞLIK, DOSTLUK  ŞİRKET
COMPARE;KARŞILAŞTIRMAK
COMPEL;ZORLAMAK, MECBUR BIRAKMAK
COMPENSATİON FOR;TAZMİNAT ÖDEMEK  TELAFİ ETMEK
COMPETE;REKABET ETMEK, YARIŞMAK ***COMPETİTİON
COMPETE AGAİNST;BAŞKASIYLA YARIŞMAK, REKABET ETMEK
COMPETE WİTH;BAŞKASIYLA AYNI YERDEN BESLENMEK/GEÇİM SAĞLAMAK
COMPETİTİON;REKABET  MÜSABAKA, YARIŞ
COMPİLE;DERLEMEK, TOPARLAMAK
COMPLAİNT;ŞİKAYET
COMPLEMENT;TAMAMLAMAK
COMPLETE;BİTİRMEK, TAMAMLAMAK
COMPLETELY;TAMAMEN, BÜTÜNÜYLE
COMPLY WİTH;--- E UYMAK,--- E İTAAT ETMEK
COMPOSE;OLUŞTURMAK, MEYDANA GETİRMEK
COMPOSİTİON;BİLEŞİM, KOMPOZİSYON
COMPOUND;ETRAFI ÇEVRİLİ MEKAN
COMPRİSE;İÇERMEK
COMPUTE;HESAP YAPMAK
CONCEAL;GİZLEMEK, SAKLAMAK
CONCEİVE;ANLAMAK
CONCEİVE AS; TASARLANAN
CONCENTRATE;KONSANTREOLMAK
CONCİSE;AZ, ÖZ, KISA
CONCLUDE;SONUÇ ÇIKARMAK
CONCLUSİON;SONUÇ, NETİCE, YARGI
CONCRETE;SOMUT/ BETON
CONDİTİON;DURUM,KOŞUL
CONDİTİONALLY;ŞARTLI OLARAK
CONDİTİONS;ŞARTLAR
CONDUCT;YÜRÜTMEK
CONFESS;İTİRAF ETMEK
CONFİDENT OF;EMİN
CONFİNE TO;SINIRLAMAK, BİR YERE MAHKUM ETMEK
CONFİRM;ONAYLAMAK, DOĞRULAMAK
CONFLİCT;ÇATIŞMA, SAVAŞ  ANLAŞAMAMA, TARTIŞMA
CONFLİCT WİTH;ÇATIŞMAK, ÇARPIŞMAK, SAVAŞMAK
CONFORM TO;UYMAK, UYUŞMAK
CONFRONT;KARŞILAŞMAK, YÜZ YÜZE GELMEK
CONFUSE;KARIŞTIRMAK, ŞAŞIRMAK
CONFUSED;KAFASIKARIŞIK,ALLAKBULLAK
CONGRATULATE;TEBRİKETMEK
CONGRESS;KONGRE,MECLİS
CONNECT;BAĞLANMAK
CONQUER;FETHETMEK,YENMEK, GALİP GELMEK
CONSENT;RAZI OLMAK  İZİN,RIZA
CONSENT TO;RAZI OLMAK
CONSEQUENCE;SONUÇ, NETİCE
CONSERVE;KORUMAK, MUHAFAZA ETMEK
CONSİDER;DİKKATE ALMAK, DÜŞÜNMEK
CONSİDERABLE;BÜYÜK ÖLÇÜDE, ÖNEMLİ MİKTARDA
CONSİDERABLY;ÖNEMLİ ÖLÇÜDE, OLDUKÇA
CONSİDERATELY;DÜŞÜNCELİ/NAZİK BİR ŞEKİLDE
CONSİDERATİON;GÖZ ÖNÜNDE BULUNDURMA/DÜŞÜNME
CONSİST;OLUŞMAK
CONSİST OF;İBARET OLMAK, MEYDANA GELMEK
CONSİSTENT;TUTARLI
CONSİSTENTLY;SÜREKLİ OLARAK
CONSPİRE AGAİNST;BİRİNE KOMPLO KURMAK
CONSTANT;SÜREKLİ
CONSTİTUTE;MEYDANA GETİRMEK, OLUŞTURMAK
CONSTRAİN;ZORLAMAK
CONSTRUCT;İNŞA ETMEK, YAPMAK
CONSTRUCTİON;İNŞAAT
CONSULT;DANIŞMAK
CONSUME;TÜKETMEK
CONTACT;İRTİBATAGEÇMEK
CONTACT WİTH;İRTİBATA GEÇMEK
CONTEMPORARY;ÇAĞDAŞ, AYNI ÇAĞDA YAŞAYAN
CONTEND;İLERİ SÜRMEK, YARIŞMAK, ÇEKİŞMEK
CONTEST;YARIŞMA, MÜSABAKA 
CONTEXT;SÖZ GELİMİ
CONTİNENT;KITA
CONTİNUE;DEVAMETMEK
CONTİNUUM;DEVAMLİ VE ARALIKSIZ BİR BÜTÜN
CONTRACT;SÖZLEŞME YAPMAK  KÜÇÜLMEK, BÜZÜLMEK
CONTRADİCT;AKSİNİ İDDİA ETMEK,ÇELİŞMEK
CONTRADİCTORY;ÇELİŞKİLİ, TUTARSIZ
CONTRİBUTE;KATKIDABULUNMAK
CONTRİBUTE TO;KATKIDA BULUNMAK
CONTROL;KONTROL ETMEK, İDARE ETMEK
CONTROVERSİAL;TARTIŞMALI, FİKİR AYRILIĞINA SEBEP OLAN
CONTROVERSY;ANLAŞMAZLIK, FİKİR AYRILIĞI
CONVENTİONAL;GELENEKSEL, ALIŞILAGELEN
CONVERSE;KARŞIT, ZIT  KONUŞMAK
CONVERT;DÖNÜŞTÜRMEK
CONVERT İNTO;DÖNÜŞTÜRMEK
CONVEY;NAKLETMEK, TAŞIMAK
CONVİCT;MAHKUM, TUTUKLU
CONVİNCE;İKNA ETMEK
COOKİES;KURABİYE
COOL;HAVALI,SERİN
COPY;KOPYALAMAK
CORRECT;DOĞRU
CORRECTLY;DOĞRU BİR ŞEKİLDE, DÜZGÜNCE
CORRELATE;İKİ ŞEY ARASINDA İLİŞKİ KURMAK
CORRESPOND;UYMAK, UYGUN GELMEK
CORRESPOND TO;BİR ŞEYLE UYMAK
CORRESPOND WİTH;BİRİSİ İLE YAZIŞMAK
COST;TUTAR,MALİYET
COTTON;PAMUK
COUCH;KANEPE
COUGH;ÖKSÜRMEK
COUNTERPART;KARŞILIĞI, DENGİ
COUNTRY;ÜLKE
COUPLE;ÇİFT
COURSE;GİDİŞAT, İLERLEME 
COURT;MAHKEME
COW;İNEK
CRAMPED;HİJYENİK OLMAYAN
CRASH;KAZA,YERE DÜŞME , ÇARPMA
CRAWL;EMEKLEMEK
CRAZY;ÇILGIN
CREATE;YARATMAK
CREDİBLE;İNANILIR, GÜVENİLİR
CREDİBLY;İNANILIR BİR ŞEKİLDE
CREDİT;GÜVEN, İTİBAR, İNANMA
CRİMİNAL;SUÇLU
CRİPPLED;FELÇLİ, KÖTÜRÜM
CRİTERİA;ÖLÇÜTLER
CRİTİQUE;ELEŞTİRİ, TENKİT
CROCODİLE;TİMSAH
CROSS OUT;ÜSTÜNÜ ÇİZMEK, SİLMEK
CROSSWORD;BULMACA
CRUCİAL;KESİN, CİDDİ, ÖNEMLİ
CRUEL;ZALİM
CRUMBLE;UFALANMAK, PARÇALANMAK
CRY;AĞLAMAK
CULTİVATE;TARIM YAPMAK
CUMULATİVE;TOPLAM, BİRİKMİŞ
CURATOR;SANAT GALERİSİ/MÜZE/KÜTÜPHANE GÖREVLİSİ
CURİOUS;MERAKLI
CURRENCY;DÖVİZ
CURVE;EĞİM, EĞMEK
CUSTOM;GELENEK, GÖRENEK
CUSTOMARY;GELENEKSEL
CUSTOMER;MÜŞTERİ
CUSTOMS;GÜMRÜK,TÖRE
CUT;KESMEK
CUTE;ŞİRİN
DAİLY;GÜNLÜK
DAMAGE;ZARARVERMEK
DANGEROUS;TEHLİKELİ
DARK;KOYU-KARANLIK
DASHBOARD;GÖSTERGEPANELİ
DEAD;ÖLÜ
DEADLİNE;SONTARİH
DEBATE;TARTIŞMAK
DEBT;BORÇ
DECEİT;KANDIRMAK 
DECEİVE;ALDATMAK,KANDIRMAK
DECİDE;KARARVERMEK
DECİPHER;ŞİFRESİNİ ÇÖZMEK
DECLARE;İLAN ETMEK, BEYAN ETMEK
DECLİNE;AZALMAK, KİBARCA REDDETMEK
DEDİCATE;KENDİNİ ADAMAK
DEDİCATE TO;KENDİNİ ADAMAK
DEDUCE;ANLAMAK, NETİCE ÇIKARMAK
DEDUCTİON;TÜMEVARIM, SONUÇ
DEEP;DERİN
DEEPEN;DERİNLEŞTİRMEK, DERİNLEŞMEK
