ABANDON;BİRİNİ TERK ETMEK
RANK;SIRALAMAK
RARE;NADİR, ENDER
RARELY;NADİREN
RATE;ORAN, HIZ
REACH;ULAŞMAK
REACTİON;TEPKİ, REAKSİYON
READY;HAZIR
REASON;SEBEP
RECALL;GERİ ÇAĞIRMA, GERİ İSTEME
RECEİPT;FATURA
RECEİVE;ALMAK, KABUL ETMEK
RECKLESSLY;DİKKATSİZCE, PERVASIZCA
RECOGNİZE;TANIMAK
RECOMMEND;TAVSİYEETMEK
RECOMMENDATİON;TAVSİYE, ÖNERİ
RECORD;KAYDETMEK
REDUCE;AZALTMAK
REFER;DEĞİNMEK, BAHSETMEK
REFEREE;HAKEM
REFLECT;YANSITMAK
REFRESHİNG;CANLANDIRICI, SERİNLETİCİ APERATİF YİYECEK, TEMİZ HAVA VB
REFRİGERATOR;BUZDOLABI
REFUGEE;MÜLTECİ
REFUND;PARAYI İADE ETMEK
REFUSE;REDDETMEK
REGARD;SAYGI
REGİONAL;BÖLGESEL
REGİSTER;SİCİL,KÜTÜK  KAYDETMEK
REGRET;PİŞMANLIK  ÜZÜNTÜ
REGRETFUL;PİŞMAN, ÜZGÜN
REGRETTABLE;ÜZÜCÜ, ÜZÜNTÜ/KEDER/ESEF VERİCİ
REGULAR;DÜZENLİ/SIRADAN
REGULARLY;DÜZENLİ BİR ŞEKİLDE *** ON A REGULAR BASİS
REHEARSE RİHÖRS;PROVA YAPMAK ***REHEARSAL
REJECT;RED ETMEK
REJECTİON;RET, KABUL ETMEME
RELATE;BAĞLI OLMAK, İLGİLİ OLMAK
RELATİON;İLİŞKİ
RELATİONSHİP;İLİŞKİ, BAĞ
RELAX;DİNLENMEK
RELEASE;SERBEST BIRAKMAK,SALMAK
RELENTLESS;MERHAMETSİZ  AMANSIZ, HUMMALI, ARALIKSIZ DEVAM EDEN
RELEVANT;KONU İLE İLGİLİ, ALAKALI
RELİEF;RAHATLAMA, FERAHLAMA ***RELİEF WORK
RELİGİON;DİN
RELOCATE;YERİNİ DEĞİŞTİRMEK, YERİNDEN ETMEK
RELUCTANT;GÖNÜLSÜZ
RELUCTANT RİLAKTINT;İSTEKSİZ
RELY;GÜVENMEK
REMAİN;KALINTI
REMARK;SÖYLEMEK, BELİRTMEK  DÜŞÜNCE, FİKİR
REMEMBER;HATIRLAMAK
REMEMBRANCE;ANMA, HATIRLAMA, YAD ETME
REMİNİSCENT OF;ANDIRAN, HATIRLATAN, ANIMSATAN
REMOTE;UZAK, IRAK  ISSIZ, ÜCRA ***REMOTE CONTROL
REMOTECONTROL;KUMANDA
REMOVAL;LEKE VB ŞEYLERİN ÇIKARILMASI, SÖKÜLMESİ  EVİN VB TAŞINMASI
REMOVE;LEKE VB ÇIKARMAK, TEMİZLEMEK  SÖKMEK
RENT;KİRALAMAK
REPAİR;TAMİRETMEK
REPEAT;TEKRARETMEK
REPEATEDLY;DEFALARCA, TEKRAR TEKRAR
REPETİTİVE;MONOTON, SIKICI
REPHRASE;BAŞKA BİR ŞEKİLDE İFADE ETMEK
REPLACE WİTH;ESKİ YERİNE KOYMAK  --- İLE DEĞİŞTİRMEK
REPLİCA;ASLINA ÇOK BENZEYEN KOPYA
REPLY;CEVAPLAMAK
REPORT;RAPOR
REPRESENT;TEMSİL ETMEK
REPRESENTATİVE;TEMSİLCİ
REQUEST;RİCA ETMEK
REQUİRE;GEREKTİRMEK
REQUİREMENT;İHTİYAÇ, GEREKSİNİM
REQUİSİTE;GEREKLİ ŞEY
RESENTFUL;ALINGAN, DARILMIŞ
RESİDE;İKAMET ETMEK, YERLEŞMEK
RESİDENT;BİR YERDE İKAMET EDEN, HALK APARTMAN, MAHALLE SAKİNİ VB
RESİGN FROM; İSTİFA ETMEK
RESOLVE;ÇÖZMEK
RESORT;SON ÇARE OLARAK BİR ŞEYE BAŞVURMAK  TATİL YERİ/BELDESİ
RESPOND;CEVAP VERMEK
RESPONSE;KARŞILIK, CEVAP
RESPONSİBLE;SORUMLU
RESTATE;YENİDEN İFADE ETMEK
RESTLESSNESS;HUZURSUZLUK, İÇİNİN RAHAT OLMAMASI X CALMNESS
RESTROOM;TUVALET
RESULT;SONUÇ
RETİRE;EMEKLİYEAYRILMAK
RETURN;GERİDÖNMEK
REVEAL;AÇIĞA ÇIKARMAK, GÜN YÜZÜNE ÇIKARMAK
REVENGE;İNTİKAM, İNTİKAM ALMAK *** TAKE REVENGE ON
REVİEW;GÖZDEN GEÇİRMEK
REVİSE;YENİDEN İNCELEMEK, GÖZDEN GEÇİRMEK
REVOLVE;DÖNMEK  DÖNDÜRMEK, ÇEVİRMEK
REWARD;ÖDÜL  ÖDÜLLENDİRMEK *** REWARDİNG
RİCE;PİRİNÇ
RİCH;ZENGİN
RİDE;AT, BİSİKLET VB BİNMEK
RİGHT;DOĞRU
RİGHTFULLY;HAKLI OLARAK, HAKLI YERE X WANTONLY
RİNG;YÜZÜK-TELEFONUNÇALMASI
RİSE;ORTAYA ÇIKMAK, ARTMAK, YÜKSELMEK
RİVER;IRMAK
ROAD;YOL
ROB SOMEBODY OF SOMETHİNG;BİRİNİ SOYMAK ***ROBBERY
ROBUST RIBAST;TURP GİBİ, SAPASAĞLAM
ROCK;KAYA
ROOF;ÇATI
ROOM;ODA
ROOT;KÖK
ROPE;İP
ROSE;GÜL
RUBBLE;ENKAZ, YIĞIN
RUDE;KABA
RULE;KURAL
SACRİFİCE;ADAMAK, KURBAN ADAMAK
SAFE;GÜVENLİ
SALARY;MAAŞ
SALT;TUZ
SALUTE;SELAMLAMAK
SAME;AYNI
SATİSFACTİON;TATMİN, MEMNUNİYET
SAVAGE;VAHŞİ
SAVE;KAYDETMEK
SCALD;KAYNAR SUYLA YAKMAK/HAŞLAMAK
SCALP;KAFA DERİSİNİ YÜZMEK
SCAN;TARAMAK, İNCELEMEK
SCARCE;SEYREK, AZ
SCARCELY;HEMEN HEMEN HİÇ
SCATTER;SAÇMAK, SERPMEK
SCEPTİCAL;ŞÜPHECİ
SCİSSORS;MAKAS
SCORE;SKOR, PUAN, SAYI
SCRATCH;KAZIMAK, TAHRİŞ ETMEK  
SCULPTURE;HEYKEL
SEAM;DİKİŞ YERİ
SEASONAL;MEVSİMİNE UYGUN
SEAT;KOLTUK
SEATBELT;EMNİYETKEMERİ
SECRET;SIR
SECURE;GÜVENLİ, EMNİYETLİ
SECURİTY;GÜVENLİK
SEDATE;SAKİNLEŞTİRMEK, SOĞUKKANLI
SEED;TOHUM
SEEM;GÖRÜNMEK
SEİZE;BASKINLA ELE GEÇİRMEK
SELECT;SEÇMEK
SELL;SATMAK
SEND;GÖNDERMEK
SENSE;DUYGU **SENSİTİVE
SENTENCE;CEZAYA MAHKUM ETMEK  CÜMLE
SENTİMENTAL;DUYGUSAL
SEQUENCE;SIRA
SERİES;SIRA, DİZİ
SERİOUS;CİDDİ
SERVE;SERVİSYAPMAK
SESSİON;TOPLANTININ HER BİR OTURUMU
SET;SERİ, DİZİ, TAKİM
SETTİNG;DÜZENLEME, AYAR
SEWAGE;LAĞIM, KANALİZASYON
SHADE;GÖLGELİK  RENK TONU
SHARP;KESKİN,SİVRİ
SHELF;RAF
SHİNE;PARLAMAK
SHİP;GEMİ
SHİRT;GÖMLEK
SHOE;AYAKKABI
SHOOT;VURMAK
SHOPLİFTİNG;AŞIRMAK
SHORTCOMİNG;KUSUR, EKSİK, NOKSAN
SHORTEN;KISALTMAK
SHOULDER;OMUZ
SHOUT;BAĞIRMAK
SHOW;GÖSTERMEK
SHOW OFF;HAVA ATMAK
SHUFFLE;KARIŞTIRMAK  
SHUT;KAPATMAK
SİCK;HASTA
SİGH;İÇ ÇEKMEK 
SİGN;İMZAATMAK
SİGNAL;SİNYAL, İŞARET
SİGNATURE;İMZA
SİGNİFİCANCE;ÖNEM
SİGNİFİCANT;ÖNEMLİ, KAYDA DEĞER , ANLAMLI
SİLENT;SESSİZ, SAKİN
SİLK;İPEK
SİMİLE;MECAZ, BENZETME, TESBİH
SİMPLE;BASİT
SİMPLY;BASİT BİR ŞEKİLDE  SADECE, YALNIZCA
SİMULATE;TAKLİT ETMEK *** SİMULATİON
SİNG;ŞARKISÖYLEMEK
SİNGLE;BEKAR
SİNK;BATMAK  LAVABO
SİTUATE;YERLEŞMEK, YERLEŞTİRMEK
SİTUATİON;DURUM
SİZE;BEDEN
SKİ;KAYAK
SKİLL;YETENEK
SKİM;GÖZ ATMAK
SKİN;TEN,DERİ
SKİRT;ETEK
SKY;GÖKYÜZÜ
SLAUGHTER;KURBAN ETMEK,CİNAYET İŞLEMEK
SLAVERY;KÖLELİK
SLEEVE;GÖMLEK, GÖMLEK KOLU 
SLİGHT;HAFİF, AZ
SLİP;KAYMAK *** SLİP OF THE TONGUE
SMASH;KIRIP PARÇALAMAK
SMİLE;GÜLÜMSEMEK
SMOTHER SMADIR;ÜZERİNİ ÖRTMEK, KAMUFLE ETMEK
SNAKE;YILAN
SNAP;FOTOĞRAFÇILIKTA POZ
SNEEZE;HAPŞIRMAK
SNORE;HORLAMAK
SNOW;KAR
SOAP;SABUN
SOCİABLE;SICAK KANLI,  ÇABUK KAYNAŞAN
SOCİETY;SOSYETE
SOCKET;DUY,PRİZ
SOCKS;ÇORAP
SOFT;YUMUŞAK
SOLDİER;ASKER
SOLELY;YALNIZCA, SADECE
SOLVE;ÇÖZMEK
SON;ERKEKKARDEŞ
SONG;ŞARKI
SOOTHİNG;YATIŞTIRICI
SOUP;ÇORBA
SOURCE;KAYNAK
SOUVENİR;HEDİYELİKEŞYA
SPACE;UZAYBOŞLUĞU
SPATİAL;UZAMSAL
SPECİFİC;ÖZEL, ÖZGÜ
SPECTACULAR;GÖRKEMLİ, HARİKULADE
SPECULATE;TAHMİNDE BULUNMAK
SPEND;HARCAMAK
SPİDER;ÖRÜMCEK
SPİLLAGE;YERE VB DÖKÜLEN ŞEY, DÖKÜNTÜ SU VB
SPİN;FIRIL FIRIL DÖNMEK  İP İÇİN EĞİRMEK
SPİNE;OMURGA, BELKEMİĞİ
SPİRİTUAL;MANEVİ, RUHANİ
SPOİLED;ŞIMARIK
SPOON;KAŞIK
SPOUSE;EŞ KARI VEYA KOCA
SPREAD;YAYMAK, YAYILMAK ***WİDESPREAD
SPRİNG;BAHAR MEVSİMİ  SU KAYNAĞI
SPY;CASUS
STABİLİTY;İSTİKRAR, DENGE
STAFF;PERSONEL
STAGE;SAHNE TİYATRO  AŞAMA, MERHALE
STAMP;PUL
STANCE;DURUŞ, VAZİYET
STAND;AYAKTADURMAK
STANDARD;STANDART
STARE;DİKDİKBAKMAK
STARTLE;KORKUTMAK, ÜRKÜTMEK  ŞAŞIRTMAK, AFFALATMAK
STATE;BELİRTMEK/DURUM, HAL
STATEMENT;İFADE, DEYİM
STATİONERY;KIRTASİYE
STATUE STEYÇU;HEYKEL
STAY;KALMAK
STEADİLY;SABİT BİR ŞEKİLDE, İSTİKRARLA
STEAL;ÇALMAK, HIRSIZLIK YAPMAK
STEALTHİLY STELTİLİ;HIRSIZ GİBİ, SİNSİ BİR ŞEKİLDE
STEM;AĞAÇ GÖVDESİ *** STEM FROM
STEWARD;HOSTES
STİMULATE;TEŞVİK ETMEK, MOTİVE ETMEK
STİR;KARIŞIKLIK, KARGAŞA 
STOMACH;MİDE
STONE;TAŞABBREVİATE
STORE;DEPO, DEPOLAMAK
STORM;FIRTINA ***BLİZZARD
STORY;HİKAYE
STRANGE;GARİP
STRANGER;YABANCI
STRATEGY;STRATEJİ
STRAWBERRY;ÇİLEK
STRAY;BAŞIBOŞ AYLAK KİMSE
STRESS;BUHRAN, BUNALIM
STRETCH;UZAMAK, UZANMAK  GERMEK
STRİKE;GREV *** ON STRİKE
STROLL;AĞIR AĞIR DOLAŞMAK
STRONG;GÜÇLÜ
STRUCTURE;YAPI, BÜNYE
STUDY;ÇALIŞMAK
STYLE;STİL, TARZ
SUBJECT;KONU
SUBJECT TO;OLASI, MUHTEMEL
SUBJECTİVE;ÖZEL
SUBSEQUENT;SONRAKİ
SUBSTANTİAL;ÇOK ÖNEMLİ, ÖNEMLİ ÖLÇÜDE
SUBSTİTUTE;YERİNE KULLANMAK, YERİNE GEÇMEK
SUCCESSFUL;BAŞARILI
SUDDEN;ANİ
SUE;DAVA AÇMAK
SUFFER;ACIÇEKMEK
SUFFİCİENTLY;YETERLİ MİKTARDA
SUFFRAGE;OY KULLANMA HAKKI
SUGGEST;ÖNERMEK
SUGGESTİON;ÖNERİ, TAVSİYE
SUGGESTİVE OF;MANALI, İMALI
SUİT;TAKIMELBİSE
SUM;TOPLAM
SUMMARİZE;ÖZETLEMEK
SUMMARY;ÖZET
SUPPLY;TEDARİK ETMEK,SAĞLAMAK  KAYNAK *** SUPPLY OF WATER
SUPPORT;DESTEKLEMEK
SUPPORTİVE;DESTEK VEREN,YARDIMSEVER, ŞEFKATLİ
SUPPRESS;DUYGULARINI, BAĞIŞIKLIK SİSTEMİNİ VB BASKILAMAK
SURPASS;ÜSTÜN OLMAK, GERİDE BIRAKMAK, ÜSTÜN OLMAK
SURRENDER;TESLİM OLMAK X SURROUND
SURVEY;ANKET, İNCELEME
SURVİVE;HAYATTAKALMAK
SUSPEND;ASKIDA , MUALLAKTA BIRAKMAK, OKULDAN UZAKLAŞTIRMA
SUSPİCİON;ŞÜPHE
SWEET;TATLI
SYMBOLİZE;SİMGELEMEK
SYMPTOM;SEMPTOM, BELİRTİ HASTALIK VB İÇİN
SYNONYM;EŞ ANLAMLI SÖZCÜK
SYNTHESİZE;SENTEZLEMEK
TABLE;MASA
TAİL;KUYRUK
TAKE OFF;HAVALANMAK  TAKLİT EMEK
TAKE ON;SORUMLULUK VB ÜSTLENMEK
TAKEOFF;(UÇAK)HAVALANMAK
TALK;KONUŞMAK
TALL;UZUN
TAME;EVCİL HAYVAN
TAPESTRY;DUVAR HALISI
TARGET;HEDEF
TASTEFUL;ZEVKLİ
TASTY;LEZZETLİ
TEACH;ÖĞRETMEK
TECHNİQUE;TEKNİK
TEMPLE TEMPIL;TAPINAK, MABET
TEMPORARY;GEÇİCİ
TENDERNESS;ŞEFKAT, MERHAMET, ANLAYIŞ
TERM;DÖNEM
TERMİNAL;ÖLÜMCÜL HASTALIK
TERMİNATE;BİTİRMEK ,YOK ETMEK
TERRİTORY;BÖLGE, ARAZİ
TEST;TEST, DENEME
THE REST OF…;GERİ KALANI
THEME;TEMA, İÇERİK
THESİS;TEZ, SAV
THİCK;KALIN
THİEF;HIRSIZ
THİN;ZAYIF
THİNK;DÜŞÜNMEK
THİRSTY;SUSAMIŞ
THOUGHTLESS;DÜŞÜNCESİZ, PATAVATSIZ
THROUGHOUT;BOYUNCA
THROW;ATMAK, FIRLATMAK
THROW OUT;ÇÖP VB DIŞARI ATMAK
THUNDERSTORM;YILDIRIMLI FIRTINA
TİCKET;BİLET
TİDY;DÜZENLEMEK
TİMELİNE;ZAMAN ÇİZELGESİ
TİNY;KÜÇÜCÜK
TİRED;YORGUN
TOMB;MEZAR, KABİR, TÜRBE
TONE;SES, TON
TOOL;ALET
TOOTHBRUSH;DİŞFIRÇASI
TOOTHPASTE;DİŞMACUNU
TOPİC;KONU
TOUGH;SERT, KATI, DAYANIKLI
TOWEL;HAVLU
TOWER;KULE
TOWN;KASABA
TOY;OYUNCAK
TRACE;İPUCU, BELİRTİ, İŞARET
TRADE;TİCARET YAPMAK, ALIM SATIM YAPMAK  TİCARET
TRADİTİONAL;GELENEKSEL
TRAİL;İZ, PATİKA
TRAİN;EĞİTMEK, EĞİTİM GÖRMEK
TRAİNERS;SPORAYAKKABI
TRAİT;ÖZELLİK
TRANSİTİON;GEÇİŞ
TRANSLATE;TERCÜME ETMEK, ÇEVİRMEK
TRANSMİT;GÖNDERMEK, İLETMEK MESAJ VB  HASTALIK VB BULAŞTIRMAK
TRASH;ÇÖP
TRAVEL;SEYAHAT
TREASURE; HAZİNE
TREAT;TEDAVİ ETMEK *** TREATMENT
TREE;AĞAÇ
TRİCK;HİLE, TUZAK, ÇELDİRME ***PLAY A TRİCK ON
TRİM;AĞAÇ BUDAMAK  SAÇ KIRPMAK, KESMEK
TRİP;GEZİ
TRİPE;İŞKEMBE
TROUSERS;PANTOLON
TRUCK;KAMYON
TRUST;GÜVENMEK
TRUTHFUL ABOUT;GERÇEKLERE UYGUN, DOĞRU SÖZ
TURN;DÖNMEK
TURN İN;YETKİLİ KİŞİYE TESLİM ETMEK
TYPİCALLY;TİPİK OLARAK
TYRE;LASTİK
UGLY;ÇİRKİN
UMBRELLA;ŞEMSİYE
UNATTENDED;SAHİPSİZ
UNBEARABLE;KATLANILMAZ, DAYANILMAZ BASKI
UNCLE;AMCA-DAYI
UNCULTURED;KÜLTÜRSÜZ, TAHSİLSİZ, CAHİL
UNDERMİNE;ZAYIFLATMAK, BALTALAMAK
UNDERSTAND;ANLAMAK
UNDERTAKE;ZOR VESORUMLULUĞUNU ALMAK
UNDERWEAR;İÇÇAMAŞIRI
UNFORTUNATE;TALİHSİZ, ŞANSIZ
UNİQUE;EŞSİZ ŞEY
UNLİMİTED;SINIRSIZ
UNRELİABLE;GÜVENİLMEZ
UNTİMELY;VAKİTSİZ, YERSİZ
UNUSUAL;SIRA DIŞI, ALIŞILMAMIŞ
UNWİND;ÖRAHATLAMAK, DİNLENMEK
UPDATE;GÜNCELLEMEK
UPGRADE;MODELİNİ YENİLEMEK
URGENT;ACİL
UTİLİZE;KULLANMAK
VACATİON;TATİL
VAGUE VEYG;BELİRSİZ, NET HATIRLANAMAYAN 
VALİD;GEÇERLİ
VALLEY;VADİ
VANİSH; GÖZDEN KAYBOLMAK
VARİATİON;VARYASYON
VARİETY;ÇEŞİTLİLİK
VARY;DEĞİŞTİRMEK
VAST;ENGİN, MUAZZAM
VERİFY;DOĞRULAMAK
VET;VETERİNER
VİEWPOİNT;BAKIŞ AÇISI
VİGOROUSLY;GAYRETLE
VİOLATE VAYOLEYT;KURAL İHLAL ETMEK
VİOLENT;ŞİDDET İÇERİKLİ
VİRTUALLY;HEMEN HEMEN
VOCATİON;MESLEK
VOİCE;SES, SÖZ
VOLUNTEER;GÖNÜLLÜ, ÜCRET ALMADAN YARDIM EDEN
VOTE;OYKULLANMAK
VOTE FOR/AGAİNST;OY  OY VERMEK
VOYAGE;DENİZ YOLCULUĞU
WAİTER;GARSON
WALL;DUVAR
WANTONLY;DURDUK YERE
WATERMELON;KARPUZ
WAY;YOL
WEAK;GÜÇSÜZ
WEAR;GİYMEK
WEEK;HAFTA
WEEP;AĞLAMAK, SIZLAMAK
WHİRL;HIZLA DÖNMEK  GİRDAP
WHOLLY;TAMAMEN
WİDE;GENİŞ
WİDELY;GENİŞ ÇAPTA, OLDUKÇA
WİDOW;KADIN DUL ***WİDOWER
WİND;RÜZGAR
WİNTER;KIŞ
WİSH;DİLEK
WİTHDRAW FROM;GERİ ÇEKİLMEK
WİTHDRAWN;İÇİNE KAPANIK
WİTNESS;ŞAHİT
WONDER;MERAKETMEK
WONDERFUL;HARİKA
WORD;KELİME
WORTHLESS;DEĞERSİZ
WRONG;YANLIŞ
YARD;AVLU, BAHÇE
YİELD;ÜRÜN MEYVE VERMEK
ZİP;FERMUAR
ZOO;HAYVANATBAHÇESİ
STORM;FIRTINA
SUBWAY;METRO
SURE;EMİNOLMAK
SURPRİSED;ŞAŞIRMIŞ
TAİLOR;TERZİ
TASTE;TATMAK
TEAM;TAKIM
TEMPERATURE;DERECE,ISI
TENT;ÇADIR
TERRİBLE;BERBAT
THROW;ATMAK,FIRLATMAK
TİGER;KAPLAN
TİSSUE;KAĞITMENDİL
TONGUE;DİL
TOUCH;DOKUMAK
TRANSPORT;NAKİL,TAŞIMA
TROUBLE;DERT
TRY;DENEMEK
USUAL;OLAĞAN
VACUUMCLEANER;ELEKTRİKSÜPÜRGESİ
VALUABLE;DEĞERLİ
VEGETABLE;SEBZE
VİEW;MANZARA,GÖRÜNÜM
VOİCE;SES
WAR;SAVAŞ
WARM;ILIK
WARNİNG;UYARI
WEATHER;HAVA
WET;ISLAK
WİN;KAZANMAK
WİNE;ŞARAP
WORRY;ENDİŞE
